Year,Day,hh,mm,ss,mss,ns,Range (km)
2016,240,17,17,53,751,0,1919.98707099
2016,240,17,17,54,751,0,1926.28840867
2016,240,17,17,55,751,0,1932.59454302
2016,240,17,17,56,751,0,1938.90337551
2016,240,17,17,57,751,0,1945.21760426
2016,240,17,17,58,751,0,1951.53662969
2016,240,17,17,59,751,0,1957.86060169
2016,240,17,18,0,751,0,1964.18772152
2016,240,17,18,1,751,0,1970.51993782
2016,240,17,18,2,751,0,1976.85725059
2016,240,17,18,3,751,0,1983.19771118
2016,240,17,18,4,751,0,1989.54296845
2016,240,17,18,5,751,0,1995.89212302
2016,240,17,18,6,751,0,2002.24562458
2016,240,17,18,7,751,0,2008.60302345
2016,240,17,18,8,751,0,2014.96446951
2016,240,17,18,9,751,0,2021.33071225
2016,240,17,18,10,751,0,2027.70025271
2016,240,17,18,11,751,0,2034.07324078
2016,240,17,18,12,751,0,2040.45042595
