BkNo	Year	Day	hh	mm	ss	mss	ns	RangeRate(km/s)		Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
25	2016	240	17	9	10	700	0	-6.43798239	0	0	0	f8	f0	8	4	3	19	1	1
25	2016	240	17	9	11	700	0	-6.43489972	0	0	0	f8	f0	8	4	3	19	1	1
25	2016	240	17	9	12	700	0	-6.43175364	0	0	0	f8	f0	8	4	3	19	1	1
25	2016	240	17	9	13	700	0	-6.42859289	0	0	0	f8	f0	8	4	3	19	1	1
25	2016	240	17	9	14	700	0	-6.42538379	0	0	0	f8	f0	8	4	3	19	1	1
25	2016	240	17	9	15	700	0	-6.42216169	0	0	0	f8	f0	8	4	3	19	1	1
25	2016	240	17	9	16	700	0	-6.4188813	0	0	0	f8	f0	8	4	3	19	1	1
25	2016	240	17	9	17	700	0	-6.41555768	0	0	0	f8	f0	8	4	3	19	1	1
25	2016	240	17	9	18	700	0	-6.41222473	0	0	0	f8	f0	8	4	3	19	1	1
25	2016	240	17	9	19	700	0	-6.40882623	0	0	0	f8	f0	8	4	3	19	1	1
26	2016	240	17	9	20	700	0	-6.40539954	0	0	0	f8	f0	8	4	3	001a	1	1
26	2016	240	17	9	21	700	0	-6.40192397	0	0	0	f8	f0	8	4	3	001a	1	1
26	2016	240	17	9	22	700	0	-6.39844785	0	0	0	f8	f0	8	4	3	001a	1	1
26	2016	240	17	9	23	700	0	-6.39487448	0	0	0	f8	f0	8	4	3	001a	1	1
26	2016	240	17	9	24	700	0	-6.39130577	0	0	0	f8	f0	8	4	3	001a	1	1
26	2016	240	17	9	25	700	0	-6.38768237	0	0	0	f8	f0	8	4	3	001a	1	1
26	2016	240	17	9	26	700	0	-6.38402672	0	0	0	f8	f0	8	4	3	001a	1	1
26	2016	240	17	9	27	700	0	-6.38031072	0	0	0	f8	f0	8	4	3	001a	1	1
26	2016	240	17	9	28	700	0	-6.37656241	0	0	0	f8	f0	8	4	3	001a	1	1
26	2016	240	17	9	29	700	0	-6.37274907	0	0	0	f8	f0	8	4	3	001a	1	1
27	2016	240	17	9	30	700	0	-6.36893834	0	0	0	f8	f0	8	4	3	001b	1	1
27	2016	240	17	9	31	700	0	-6.36505313	0	0	0	f8	f0	8	4	3	001b	1	1
27	2016	240	17	9	32	700	0	-6.36112635	0	0	0	f8	f0	8	4	3	001b	1	1
27	2016	240	17	9	33	700	0	-6.35714441	0	0	0	f8	f0	8	4	3	001b	1	1
27	2016	240	17	9	34	700	0	-6.3531546	0	0	0	f8	f0	8	4	3	001b	1	1
27	2016	240	17	9	35	700	0	-6.34909719	0	0	0	f8	f0	8	4	3	001b	1	1
27	2016	240	17	9	36	700	0	-6.34498667	0	0	0	f8	f0	8	4	3	001b	1	1
27	2016	240	17	9	37	700	0	-6.34081993	0	0	0	f8	f0	8	4	3	001b	1	1
27	2016	240	17	9	38	700	0	-6.33663234	0	0	0	f8	f0	8	4	3	001b	1	1
27	2016	240	17	9	39	700	0	-6.33238393	0	0	0	f8	f0	8	4	3	001b	1	1
28	2016	240	17	9	40	700	0	-6.32809954	0	0	0	f8	f0	8	4	3	001c	1	1
28	2016	240	17	9	41	700	0	-6.32376006	0	0	0	f8	f0	8	4	3	001c	1	1
28	2016	240	17	9	42	700	0	-6.3193555	0	0	0	f8	f0	8	4	3	001c	1	1
28	2016	240	17	9	43	700	0	-6.31490977	0	0	0	f8	f0	8	4	3	001c	1	1
28	2016	240	17	9	44	700	0	-6.31043545	0	0	0	f8	f0	8	4	3	001c	1	1
28	2016	240	17	9	45	700	0	-6.30586228	0	0	0	f8	f0	8	4	3	001c	1	1
28	2016	240	17	9	46	700	0	-6.30128177	0	0	0	f8	f0	8	4	3	001c	1	1
28	2016	240	17	9	47	700	0	-6.29663625	0	0	0	f8	f0	8	4	3	001c	1	1
28	2016	240	17	9	48	700	0	-6.29192977	0	0	0	f8	f0	8	4	3	001c	1	1
